EventName,Date,ImpactZone,ImpactRadiusKM
Sankranti Festival,15-01-2024,Citywide,20
Republic Day,26-01-2024,Citywide,20
Maha Shivaratri,08-03-2024,Citywide,20
Ugadi Festival,09-04-2024,Citywide,20
Ramzan Eid,11-04-2024,Citywide,20
Labour Day,01-05-2024,Citywide,20
IPL Match - SRH vs KKR,23-03-2024,Uppal,5
IPL Match - SRH vs CSK,05-04-2024,Uppal,5
IPL Match - SRH vs RCB,25-04-2024,Uppal,5
IPL Match - SRH vs PBKS,19-05-2024,Uppal,5
IT World Expo,10-02-2024,Hitec City,3
BioAsia 2024,26-02-2024,Gachibowli,4
Startup Summit,20-04-2024,Kondapur,3
Music Fest Hyd,15-03-2024,Gachibowli,5
Food Carnival,05-05-2024,Jubilee Hills,3
Local Marathon,28-01-2024,Begumpet,7
Large Wedding Event,01-03-2024,Banjara Hills,2
